bases,f1,f2,f3,f4,n1,n2,n3,n4,l1,l2,l3,t1,t2
dataFelipe1,1.9888007777378158,0.0,1.0,1.0,0.2,0.04597903445971759,0.0,0.0,0.0,0.0,0.0,0.2,5.0
dataFelipe2,0.4297504115437997,0.19415208786379115,0.4,0.7,0.9,1.2884834931702507,0.8,0.3450000000000001,0.03408464901930549,0.30000000000000004,0.19749999999999995,0.9,5.0
